Link Name,Center of Mass X,Center of Mass Y,Center of Mass Z,Center of Mass Roll,Center of Mass Pitch,Center of Mass Yaw,Mass,Moment Ixx,Moment Ixy,Moment Ixz,Moment Iyy,Moment Iyz,Moment Izz,Visual X,Visual Y,Visual Z,Visual Roll,Visual Pitch,Visual Yaw,Mesh Filename,Color Red,Color Green,Color Blue,Color Alpha,Collision X,Collision Y,Collision Z,Collision Roll,Collision Pitch,Collision Yaw,Collision Mesh Filename,Material Name,SW Components,Coordinate System,Axis Name,Joint Name,Joint Type,Joint Origin X,Joint Origin Y,Joint Origin Z,Joint Origin Roll,Joint Origin Pitch,Joint Origin Yaw,Parent,Joint Axis X,Joint Axis Y,Joint Axis Z,Limit Effort,Limit Velocity,Limit Lower,Limit Upper,Calibration rising,Calibration falling,Dynamics Damping,Dynamics Friction,Safety Soft Upper,Safety Soft Lower,Safety K Position,Safety K Velocity
trunk,3.2077E-16,8.7602E-17,-7.7907E-17,0,0,0,5.369,0.014018,-9.8764E-10,2.189E-06,0.022916,-1.0695E-05,0.031536,0,0,0,0,0,0,package://dog/meshes/trunk.STL,0.75294,0.75294,0.75294,1,0,0,0,0,0,0,package://dog/meshes/trunk.STL,,！狗身-1,坐标系17,,,,0,0,0,0,0,0,,0,0,0,,,,,,,,,,,,
FL_hip,-0.00692304963835766,-0.0130799503639591,8.77287418627609E-06,0,0,0,0.337524542203421,0.000215254092407494,2.15638092567625E-07,-6.84399658609385E-08,0.000431326436958549,5.16536960133808E-08,0.00027557090454781,0,0,0,0,0,0,package://dog/meshes/FL_hip.STL,0.752941176470588,0.752941176470588,0.752941176470588,1,0,0,0,0,0,0,package://dog/meshes/FL_hip.STL,,！胯部-左-2,坐标系1,基准轴5,FL_hip_joint,revolute,0.27491,0.099829,0.0023126,0,0,0,trunk,1,0,0,33.5,21,-0.80285,0.80285,,,0.01,0.2,,,,
FL_thigh,-0.00162647906680141,-0.0211042231509579,-0.0414216512995833,0,0,0,0.752071036497917,0.00115368399686359,-5.15161781505904E-08,3.94366142837055E-06,0.00143053814691974,2.21188881777564E-06,0.000359763371789606,0,0,0,0,0,0,package://dog/meshes/FL_thigh.STL,0.752941176470588,0.752941176470588,0.752941176470588,1,0,0,0,0,0,0,package://dog/meshes/FL_thigh.STL,,！大腿-左-1,坐标系5,基准轴9,FL_thigh_joint,revolute,0,0.07555,0,0,0,0,FL_hip,0,-1,0,33.5,21,-1.0472,4.1888,,,0.01,0.2,,,,
FL_calf,-3.94060146965969E-06,-0.000200469779456536,-0.112543621491278,0,0,0,0.124258894329163,0.00013902953204446,1.33749908628396E-12,-2.74121697814619E-10,0.000145283524562499,4.05270232077448E-07,1.81938767558011E-05,0,0,0,0,0,0,package://dog/meshes/FL_calf.STL,0.752941176470588,0.752941176470588,0.752941176470588,1,0,0,0,0,0,0,package://dog/meshes/FL_calf.STL,,！小腿-4,坐标系9,基准轴13,FL_calf_joint,revolute,0,-0.00025,-0.215,3.1416,-1.5708,0,FL_thigh,0,-1,0,33.5,21,-2.6965,-0.9163,,,0.01,0.2,,,,
RR_hip,0.00692304963835749,0.0130799503639589,8.77287418626221E-06,0,0,0,0.337524542203422,0.000215254092407494,2.15638092567616E-07,6.84399658609849E-08,0.000431326436958549,-5.16536960133332E-08,0.00027557090454781,0,0,0,0,0,0,package://dog/meshes/RR_hip.STL,0.752941176470588,0.752941176470588,0.752941176470588,1,0,0,0,0,0,0,package://dog/meshes/RR_hip.STL,,！胯部-左-3,坐标系4,基准轴8,RR_hip_joint,revolute,-0.27429,-0.10017,0.0023126,0,0,0,trunk,-1,0,0,33.5,21,-0.80285,0.80285,,,0.01,0.2,,,,
RR_thigh,-0.00170171026708305,0.0211066364397727,-0.0414030033466158,0,0,0,0.751669221454689,0.00115368007732539,5.15209673028133E-08,3.82070971327342E-06,0.00143053065573059,-2.91727647892573E-07,0.000359759452299978,0,0,0,0,0,0,package://dog/meshes/RR_thigh.STL,0.752941176470588,0.752941176470588,0.752941176470588,1,0,0,0,0,0,0,package://dog/meshes/RR_thigh.STL,,！大腿-右-1,坐标系8,基准轴12,RR_thigh_joint,revolute,0,-0.07555,0,0,0,0,RR_hip,0,1,0,33.5,21,-1.0472,4.1888,,,0.01,0.2,,,,
RR_calf,-3.94060146968744E-06,-0.000200469779456591,-0.112543621491278,0,0,0,0.124258894329163,0.000139029532044461,1.33749906962135E-12,-2.74121697772267E-10,0.0001452835245625,4.05270232077482E-07,1.81938767558012E-05,0,0,0,0,0,0,package://dog/meshes/RR_calf.STL,0.752941176470588,0.752941176470588,0.752941176470588,1,0,0,0,0,0,0,package://dog/meshes/RR_calf.STL,,！小腿-1,坐标系12,基准轴16,RR_calf_joint,revolute,0,0.00025,-0.215,3.1416,-1.5708,0,RR_thigh,0,1,0,33.5,21,-2.6965,-0.9163,,,0.01,0.2,,,,
RL_hip,0.00692304963835755,-0.0130799503639591,-8.77287418624573E-06,0,0,0,0.337524542203421,0.000215254092407494,-2.15638092567639E-07,-6.84399658610194E-08,0.000431326436958549,-5.16536960133854E-08,0.00027557090454781,0,0,0,0,0,0,package://dog/meshes/RL_hip.STL,0.752941176470588,0.752941176470588,0.752941176470588,1,0,0,0,0,0,0,package://dog/meshes/RL_hip.STL,,！胯部-左-4,坐标系3,基准轴7,RL_hip_joint,revolute,-0.27429,0.099829,0.0023126,0,0,0,trunk,-1,0,0,33.5,21,-0.80285,0.80285,,,0.01,0.2,,,,
RL_thigh,-0.00162647906680125,-0.021104223150958,-0.0414216512995832,0,0,0,0.752071036497916,0.00115368399686358,-5.15161781506304E-08,3.94366142837063E-06,0.00143053814691974,2.21188881777578E-06,0.000359763371789606,0,0,0,0,0,0,package://dog/meshes/RL_thigh.STL,0.752941176470588,0.752941176470588,0.752941176470588,1,0,0,0,0,0,0,package://dog/meshes/RL_thigh.STL,,！大腿-左-2,坐标系7,基准轴11,RL_thigh_joint,revolute,0,0.07555,0,0,0,0,RL_hip,0,-1,0,33.5,21,-1.0472,4.1888,,,0.01,0.2,,,,
RL_calf,-3.9406014697152E-06,-0.000200469779456564,-0.112543621491278,0,0,0,0.124258894329163,0.00013902953204446,1.33749907617672E-12,-2.74121697772393E-10,0.000145283524562499,4.05270232077458E-07,1.81938767558011E-05,0,0,0,0,0,0,package://dog/meshes/RL_calf.STL,0.752941176470588,0.752941176470588,0.752941176470588,1,0,0,0,0,0,0,package://dog/meshes/RL_calf.STL,,！小腿-3,坐标系11,基准轴15,RL_calf_joint,revolute,0,-0.00025,-0.215,3.1416,-1.5708,0,RL_thigh,0,-1,0,33.5,21,-2.6965,-0.9163,,,0.01,0.2,,,,
